TYPE CORPS;N° DE SERIE CORPS;DN;PN;CV;NORME BRIDES;CODE;MATIERE ARBRE;MATIERE SIEGE;MATIERE  ORG. REGLANT;M;MATIERE GARNITURES;TYPE GARNITURES;FOURNISSEUR CORPS;NUM CORPS
;;20;;;FF 3/4 G;PCSFDV_020_2_1_4_AP2S;;PTFE;;AISI 316;;;32;69
;;20;;;FF 3/4 G;PCSFDV_020_2_1_4_AP2S;;PTFE;;AISI 316;;;32;70
Starline 233 SGS;;40;40;;PBR2 1 1/2;;;PTFE chargé;F 316;A 105N;PTFE chargé;;29;71
29000;;;ANSI 1500LB;2,3;Taraudée 34 mm;;;;;316;PTFE;;18;72
29000;06.484801-1;;ANSI 1500LB;2,3;Taraudée 34 mm;;;;;316;PTFE KEVELAR;;18;73
REMA040AJJST;MA0204842;40;40;;;;329SS;STELLITE;329SS;CF8M;;;25;74
35-35212;F-10-212500-001-01;25;100;15;;;ANSI 316;STEL n°6;;A351 GR CF8M;;;18;75
35-35216;F-10-212500-001-02;25;100;15;;;ANSI 316;STEL n°6;STEL 6;A351 GR CF8M;;;18;76
RTS 68411;14/689228 3;20;80;;Taraudé 3/4;;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;;21;77
RTS 68411;14/689228 1;20;80;;Taraudé 3/4;;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;;21;78
P6A;;20 I;115;;;;;PTFE C;;316 L;;;21;79
P6A;;20 I;115;;;;;PTFE C;;316 L;;;21;80
P6A;;20 I;115;;;;;PTFE C;;316 L;;;21;81
RTS 68411;14/689228 5;20;80;;Taraudé 3/4;;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;;21;82
RTS 68411;14/689228 6;20;80;;Taraudé 3/4;;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;;21;83
RTS 68441A;10/508322 5;40;16;;EN1092.1;;;;;A 105N;;;21;84
RTS 68441A;10/508322 4;40;16;;EN1092.1;;;;;A 105N;;;21;85
RTS 68451;13/643327 1;40;10;;;;;;;;;;21;86
RTS 68451;13/645328-1;40;10;;;;;;;;;;21;87
RTS 68451;13/643327 4;40;10;;;;;;;;;;21;88
RTS 68441A;10/508322 2;40;16;;EN1092.1;;;;;A 105N;;;21;89
RTS 68441A;11/554661 1;40;16;;;;;PTFE;;;;;21;90
RTS 68441A;11/554661 2;40;16;;;;;PTFE;;;;;21;91
RTS 68441A;10/508322 6;40;16;;EN1092.1;;;;;A 105N;;;21;92
RTS 68441A;11/554661 9;40;16;;;;;PTFE;;;;;21;93
RTS 68441A;11/554661 8;40;16;;;;;PTFE;;;;;21;94
68411A;;40;;;;;;;;;;;21;95
68411A;;40;;;;;;;;;;;21;96
68411A;;40;;;;;;;;;;;21;97
68411A;;40;;;;;;;;;;;21;98
;;150;;;;;;;;A216 GR WCB;PTFE;;18;99
;;75;20;;;;;;;;;;;100
48-2171;;75;20;75;ISO PN20 E2;;;AISI 410;ANSI 410;A 351 GR CF8M;;;18;101
35-35112;;150;10;500;EN1092-1 PN10;;316L;STEL;ANSI 316L;A216 GR WCC;;;18;102
35-35112;;150;10;500;EN 1092.1PN10;;ANSI 316;STEL;ANSI 316L;A216 GR WCC;;;18;103
GAMMA;;80;10;;;3T 6P 6 XV;;XV;;FT 25;;;2;104
ISORIA 10;;80;10;;;3G 6K 6XV;;;;;;;2;105
ISORIA 10;;80;10;;;3G 6K 6XV;;;;;;;2;106
ISORIA 10;;80;10;;;3G 6K 6XV;;;;;;;2;107
ISORIA 10;;80;10;;;3G 6K 6XV;;;;;;;2;108
Gamma;;80;10;;;3T 6P 6 XV;;XV;;;;;2;109
FIG 14 102;;80;10;;;PRA00401XX0PM00;;EPDM;INOX;FONTE GG25;Joint à lèvre;;10;110
FIG 320 112;;80;16;;;PRA00401XX0PM00;;EPDM collé;Inox;;;;10;111
ISORIA 10;76140045/0110;100;10;;;2 M11 3G 6K6 XV;;XV;;;;;2;112
Série 21 000;;25;ISO PN 100E1;3,8;ISO E1;62873404-1;;ANSI 316 STEL E;ANSI 316 STEL E;A351 GR CF8M;PTFE/CARB;LATTYFLON 3260;18;113
L12A150AA;C0001046;150;25;;;;329SS;INCOLOY 825;316SS;CF8M;;;25;114
DANAIS 150;9 973 749 598 100;80;10;;;66E 6FB 2B;;;;;;;2;115
DANAIS 150;;80;10;;;66E 6FB 2B;;;;;;;2;116
DANAIS 150;;80;10;;;66E 6FB 2B;;;;;;;2;117
DANAIS 150;;80;10;;;66E 6FB 2B;;;;;;;2;118
DANAIS 150;;80;10;;;66E 6FB 2B;;;;;;;2;119
DANAIS 150;;80;10;;;66E 6FB 2B;;;;;;;2;120
DANAIS 150;;80;10;;;66E 6FB 2B;;;;;;;2;121
DANAIS 150;;80;10;;;66E 6FB 2B;;;;;;;2;122
DANAIS 150;;80;10;;;66E 6FB 2B;;;;;;;2;123
DANAIS 150;;80;10;;;66E 6FB 2B;;;;;;;2;124
DANAIS 150;;80;10;;;66E 6FB 2B;;;;;;;2;125
;;10 I;80;;3/8éme (12/17);;;PTFE V;;A 105;;;21;126
RTS 68411;12/643349 3;10;80;;FILET 12/17;;;;;;;;21;127
RTS 68411;12/643349 2;10;80;;FILET 12/17;;;;;;;;21;128
RTS 68411;12/643349 4;10;80;;FILET 12/17;;;;;;;;21;129
RTS 68411;12/643349 1;10;80;;FILET 12/17;;;;;;;;21;130
RTS 68411;12/643349 6;10;80;;FILET 12/17;;;;;;;;21;131
RTS 68411;12/643349 5;10;80;;FILET 12/17;;;;;;;;21;132
RTS 68411;17/791461 2;10;80;;FILETS 3/8;;;;;;;;10;133
RTS 68411;17/791461 3;10;80;;FILETS 3/8;;;;;;;;10;134
RTS 68411;14/689229 2;10;80;;Taraudé 3/8ème;;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;;21;135
RTS 68411;17/789729 1;10;80;;FILETS 3/8;;;;;;;;10;136
RTS 68411;17/789729 2;10;80;;FILETS 3/8;;;;;;;;10;137
L12A080AA;C0001043;80;;;;;;INCLOY825;316SS;CF8M;;;25;138
35-35222;F-12-217037-001-05;80;10;;;;;ANSI 316 + PTFE;ANSI 316L STEL;A216 GR WCC;;;18;139
35-35222;F-12-217037-001-06;80;10;;;;;ANSI 316 + PTFE;ANSI 316L STEL;A 216 GR WCC;;;18;140
35-35222;F-12-217037-001-4;80;10;;;;;ANSI 316 + PTFE;ANSI 316L STEL;A 216 GR WCC;;;18;141
35-35222;F-12-217037-001-3;80;10;;;;;ANSI 316 + PTFE;ANSI 316L STEL;A 216 GR WCC;;;18;142
35-35222;F-12-217037-001-01;80;10;;;;;ANSI 316 + PTFE;ANSI 316L STEL;A 216 GR WCC;;;18;143
35-35222;F-12-217037-001-02;80;10;;;;;ANSI 316 + PTFE;ANSI 316L STEL;A 216 GR WCC;;;18;144
35 - 35202;;80;10;;;;;316;316 RD;A 216 GR WCC;PTFE/CARB;LATTY 3260 LM;18;145
Camflex II;;80;10 PJ;135;ENTRE BRIDES AFNOR;35-35202;ANSI 316;316 TEF;316 RD;A216 GR WCC;PTFE/carb;LATTYFLON 3260LM;18;146
DANAIS 150;;500;10;;;66E 6F B2B;;;;;;;2;147
RTS 68411;14/689229 1;10;80;;Taraudé 3/8ème;;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;;21;148
;;10;80;;Taraudé 3/8ème;;;;;;;;21;149
;;;;;;;;INOX/TEFLON;A 564 GR 630;A216 WCC;;;22;150
série 600;1B501T;80;10;;;;;316L;A564 GR 630;A216 WCC;PTFE;RAINEX;22;151
;;80;10;;;MTLD 1A231A;;316L;A564 GR 630;A216 WCC;PTFE;RAINEX;22;152
35-35222;F-14-219853-001-1;80;10;145;EN 1092-1 PN10;;ANSI 316;ANSI 316 + PTFE;ANSI 316L STELLITE;A216 GR WCC;;;18;153
35000;;50;;;ANSI 600 RF;35-35202;;;;;LATTYFLON;3260 LM;18;154
;;50;;;;;;316;316 RD;A216 GR WCC;PTFE/CARB;LATTYFLON 3260LM;18;155
35 - 35202;;40;ANSI 600 RF;;;;;316;STEL 6;A216 GR WCC;PTFE/CARB;LATTYFLON 3260LM;18;156
35 - 35202;;40;ANSI 600 RF;;;35-35202;;316;STEL 6;A216 GR WCC;PTFE/CARB;LATTYFLON 3260LM;18;157
35 - 35202;;40;ANSI 600 RF;;;;;316;STEL 6;A216 GR WCC;;LATTYFLON 3260LM;18;158
;550 40D6037;40;25;;;513G1RS115;;;;;;;27;159
;550 40D6037;40;25;;;513G1RS115;;;;;;;27;160
Sylax 149G42291N;;300;16;;;;;LI EPDM;DI 1.4408;;;;Socla;161
Sylax 149G42291N;;300;16;;;;;LI EPDM;DI 1.4408;;;;Socla;162
Sylax 149G42291N;564054;300;16;;;;;LI EPDM;DI 1.4408;;;;Socla;163
Sylax 149G42291N;;300;16;;;;;LI EPDM;DI 1.4408;;;;Socla;164
RTS 68412;23/328637070 6;20;;;;;INOX;;INOX;;;;21;165
RTS 68412;23/328637070 12;20;;;;;INOX;;INOX;;;;21;166
RTS 68412;23/328637070 4;20;;;;;INOX;;INOX;;;;21;167
RTS 68412;23/328637070 3;20;;;;;INOX;;INOX;;;;21;168
RTS 68412;23/328637070 2;20;;;;;INOX;;INOX;;;;21;169
RTS 68412;23/328637070;20;;;;;INOX;;INOX;;;;21;170
RTS 68412;23/328637070 7;20;;;;;INOX;;INOX;;;;21;171
Fig 320-112;10124812-10;50;; ;;;INOX;;INOX;A536 65-45-12;;;17;172
RTS68251;23/328637010 1;50;40;;A/SA182 F316/L;;INOX;;INOX;;;;21;173
RTS 68412;23/328637070 15;20;;;;;INOX;;INOX;;;;21;174
RTS 68412;23/328637070 10;20;;;;;INOX;;INOX;;;;21;175
RTS 68412;23/328637070 14;20;;;;;INOX;;INOX;;;;21;176
RTS 68412;23/328637070 13;20;;;;;INOX;;INOX;;;;21;177
RTS 68412;23/328637070 5;20;;;;;INOX;;INOX;;;;21;178
RTS 68412;23/328637070 1;20;;;;;INOX;;INOX;;;;21;179
RTS 68412;23/328637070 8;20;;;;;INOX;;INOX;;;;21;180
Fig 320-112;10132381-5;50;; ;;;INOX;;INOX;A536 65-45-12;;;17;181
RTS68251;23/328637010 2;50;40;;A/SA182 F316/L;;INOX;;INOX;;;;21;182
ISORIA 10 TYPE 1;76218358/0110;200;10;;;3T 6K 3G XV;INOX 13% CHROME;EPDM XV;Fonte graphite sphéroidal;Fonte FGL;;;2;183
ISORIA 10 TYPE 1;76218358/0110;200;10;;;3T 6K 3G XV;INOX 13% CHROME;EPDM XV;Fonte graphite sphéroidal;Fonte FGL;;;2;184
ISORIA 10 TYPE 1;76218358/0110;200;10;;;3T 6K 3G XV;INOX 13% CHROME;EPDM XV;Fonte graphite sphéroidal;Fonte FGL;;;2;185
ISORIA 10 TYPE 1;76218358/0110;200;10;;;3T 6K 3G XV;INOX 13% CHROME;EPDM XV;Fonte graphite sphéroidal;Fonte FGL;;;2;186
Sylax 149G42291N;;300;16;;;;;LI EPDM;DI 1.4408;;;;31;187
Sylax149G42291N;;300;16;;;;;LI EPDM;DI 1.4408;;;;Socla;188
Sylax 149G42291N;;300;16;;;;;LI EPDM;DI 1.4408;;;;Socla;189
Sylax 149G42291N;;300;16;;;;;LI EPDM;DI 1.4408;;;;Socla;190
ISORIA 10;;150;10;;;3G 6K 6XV;;XV;;;;;2;191
OPTISEAL;;100;10;;;;;;;;;;;192
OPTISEAL;;100;10;;;;;;;;;;;193
OPTISEAL;;100;10;;;;;;;;;;;194
OPTISEAL;;100;10;;;;;;;;;;;195
OPTISEAL;;80;10;;;;;;;;;;;196
OPTISEAL;;80;10;;;;;;;;;;;197
FIG 320-112 BODY-DI;;300;16;;;;;EPDM;INOX;;;;10;198
ISORIA 10;;150;10;;T2;3G6K6XV;INOX;;INOX;;;;;199
FIG 14 102;;150;10;;;;INOX;EPDM;INOX;GJL-250;;;10;200
RTS 68412;19-311827020;20;;;;;;;;;;;21;201
RTS 68412;19/311827020-3;20;;;;;;;;;;;21;202
RTS 68412;19-311827020-10;20;;;;;;;;;;;21;203
RTS 68412;19-311827020-5;20;;;;;;;;;;;21;204
RTS 68412;19-311827020-1;20;;;;;;;;;;;21;205
RTS 68412;19-311827020-7;20;;;;;;;;;;;21;206
RTS 68412;19-311827020-8;20;;;;;;;;;;;21;207
RTS 68412;19-311827020-6;20;;;;;;;;;;;21;208
RTS 68412;19-311827020-9;20;;;;;;;;;;;21;209
ISORIA 10;;150;10;;T2;3G6K6XV;INOX;;INOX;;;;;210
FIG 14 102;;150;;;;;;;;GG 25;;;10;211
RTS 68441A;;40;16;;;;;PTFE;;;;;21;212
RTS 68441A;;40;16;;;;;PTFE;;;;;21;213
RTS 68451;13/643327 2;40;10;;;;;;;;;;21;214
RTS 68451;13/643327 5;40;10;;;;;;;;;;21;215
RTS 68451;13/643327 6;40;10;;;;;;;;;;21;216
RTS 68441A;;40;16;;;;;PTFE;;;;;21;217
;;40;;;;;;PTFE;;;PTFE;;;218
FIG 88 451A;21997902;40;40;;;;;;;A105;;;33;219
RTS 68441A;;40;16;;;;;PTFE;;;;;21;220
RTS 68441A;11/554661 10;40;16;;;;;PTFE;;;;;21;221
RTS 68441A;11/554661 3;40;16;;;;;PTFE;;;;;21;222
Gamma;;450;10;;;3T 6P 3G XV;;XV;INOX;;;;2;223
DANAIS 150;9 972 590 055 300;450;10;;;66E 6F B2B;;;;;;;2;224
DANAIS 150;9972140750/0400;450;10;;;66E 6F B2B;;;;;;;2;225
DANAIS 150;9 972 140 750;450;10;;;66E 6F B2B;;;; ;;;2;226
DANAIS 150;9 972 324 707;450;10;;;66E 6FB 6B;;;;;;;2;227
DANAIS 150;;450;10;;;66E 6F B2B;;;;;;;2;228
DANAIS 150;9 972 140 750;450;10;;;66E 6F B2B;;;;;;;2;229
Gamma;;450;10;;;;;XV;INOX;;;;2;230
DANAIS 150;9 972 140 750 400;450;10;;;66E 6F B2B;;;;;;;2;231
Gamma;;350;10;;;3T 6P 3G XV;;XV;;;;;2;232
DANAIS 150;9973390599 700;350;10;;;66E 6FB 2B;;;;;;;2;233
Gamma;;350;10;;;3T 6P 3G XV;;XV;INOX;;;;2;234
DANAIS 150;9973390599 600;350;10;;;66E 6FB 2B;;;;;;;2;235
Gamma;;350;10;;;;;;;;;;2;236
DANAIS 150;;350;10;;;66E 6F B2B;;;;;;;2;237
Gamma;;250;10;;;;;XV;INOX;;;;2;238
DANAIS 150;;350;10;;;66E 6FB 2B;;;;;;;2;239
Gamma;;250;10;;;;;XV;INOX;;;;2;240
DANAIS 150;;350;10;;;66E 6FB 2B;;;;;;;2;241
DANAIS 150;;600;10;;;;;;;;;;2;242
DANAIS 150;9 972 590 055 100;600;10;;;66E 6F B2B;;;;;;;2;243
DANAIS 150;;600;10;;;66E 6F B2B;;;;;;;2;244
DANAIS 150;;600;10;;;66E 6F B2B;;;;;;;2;245
DANAIS 150;9 972 140 750;600;10;;;66E 6F B2B;;;;;;;2;246
Gamma;;600;10;;;3T 6P 3G XV;;XV;;;;;2;247
Gamma;;500;10;;;3T 6P 3G XV;;XV;FONTE;FONTE;;;2;248
DANAIS 150;;500;10;;;66E 6FB 2B;;;;;;;2;249
GAMMA;;500;;;;;;;;;;;2;250
DANAIS 150;;500;10;;;66E 6FB 2B;;;;;;;2;251
DANAIS 150;;350;10;;;66E 6FB 2B;;;;;;;2;252
Gamma;76011971/0110;350;10;;;3T 6P 3G XV;;XV;INOX 316;;;;2;253
DANAIS 150;;350;10;;;66E 6FB 2B;;;;;;;2;254
DANAIS MT2 CL150;9971758721  100;600;10;;;66E6NI1B;;;;; ;;2;255
35-35212;F-15-221168-001-1;200;40;510;EN 1092.1 PN40;;;ANSI 316L STEL B;ANSI 316L STEL;10 625;;;18;256
RTS68452;21/323665070;40;40;;;;;PTFE;;FONTE;;;21;257
DANAIS MT;76045403/0310;200;10CL150;;FACES PLATES;;;NI (nickel);;;;;2;258
DANAIS 150;;200;10;;T1;66E 6FB;;;;;;;2;259
35-35112;F-15-221168-002-01;80;40;54;EN 1092-1 PN40;;;ANSI 316 STEL;ANSI 316L STEL;;;;18;260
V 500;EU03267209;80 réduit;cl 300;56,7;CLASS 300RF;;440C;17-4 PH;316 PLAQUE CHROME;WCC;PTFE/GRAPHITE;;12;261
;;80;ISO PN50#E;135;;;;ANSI 316 STEL E;ANSI 316 STEL E;A351 CR CF8M;CARBONE/PTFE;;18;262
V 500;EU 03267209;80;50;141;CLASS 300;;440C;17-4 PH;316 Plaque chrome;WCC;GRAPHITE/PTFE;;12;263
DANAIS 150;;600;;;;;;;;;;;2;264
V0280718.1;G604001-01-20155;3/8;;1.5;à souder;;;;410 SS HT;A216 WCB;V-PTFE (25% G.F);;4;265
;;150;;;;;;316;316 RD;A216 GR WCC;PTFE/CARB;LATTYFLON 3260LM;18;266
FIG 14 102;;150;10;;;;Inox;EPDM;INOX;FONTE GG25;Joint à lèvre;;10;267
VANNE PELLE;;150;10;;;;INOX;JOINT NITRILE;INOX 316;INOX;TRESSE PTFE;VG6400;24;268
VANNE PELLE;;100;10;;;;INOX;JOINT NITRILE;INOX 316;INOX;TRESSE PTFE;VG6400;24;269
VANNE PELLE;;150;10;;;;INOX;JOINT NITRILE;INOX 316;INOX;TRESSE PTFE;VG6400;24;270
RTS 68212;15/741583 1;20;40;;Taraudées 27 mm;;;PTFE;;INOX 316;;;21;271
RTS 68211;09/469924;20; ;;;;;;;Inox;;;21;272
Isoria 10B;76135433/0110;250;10;;;1M19 3T 6K 3G XA;;XA;;;;;2;273
;;40;58;;;;;;;;;;;274
;;40;58;;;;;;;;;;;275
;;40;58;;;;;;;;;;;276
;;40;58;;;;;;;;;;;277
FIG 14 102;40338;50;10;;;;Inox;EPDM renforcé;INOX;FONTE GG25;Joint à lèvre;;10;278
FIG 68241A;25 455 303;32;10;;;;;;;316 L;;;21;279
FIG 68241A;25455301;32;16;;;;;;;316 L;;;21;280
FIG 68241A;25455304;32;16;;;;;;;316 L;;;21;281
FIG 68241A;25455302;32;16;;;;;;;316 L;;;21;282
;;20;10;;;;;PTFE;;316 L;PTFE;;21;283
;;20;10;;;;;PTFE;;316 L;PTFE;;21;284
FIG: 320 112;;80;16;;;;;EPDM collé;;;;;10;285
;470936;80;10;;;;;;;GG 25;;;10;286
;470908;80;10;;;;;;;GG 25;;;10;287
;470968;80;10;;;;;;;GG 25;;;10;288
;470904;80;10;;;;;;;GG 25;;;10;289
FIG 14-343;;80;10;;;;;;;GG 25;;;10;290
FIG14-343;10042635-6;50;10;;;;;;;A536 65-45-12;;;;291
F97E-002M;469866;50;;;;;;;;GG 25;;;10;292
FIG 14 102;;50;10;;;;inox;EPDM;316;GG 25;joint à lèvre;;10;293
F97E-002M;455011;50;10;;;;;;;GG 25;;;10;294
FIG 14 102;40338;50;10;;;;;;;GG 25;;;10;295
FIG 14-343;;50;10;;;;;;;GG 25;;;10;296
FIG 10 102;72769;80;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;297
;470956;80;10;;;;;;;GG 25;;;10;298
;470965;80;10;;;;;;;GG 25;;;10;299
;470902;80;10;;;;;;;GG 25;;;10;300
;470912;80;10;;;;;;;GG 25;;;10;301
FIG 14-343;;80;10;;;;;;;GG 25;;;10;302
GAMMA;;200;10;;;3T 6P 3G XA;INOX Z30 C13;EPDM XA;INOX;FONTE;;JOINT TORIQUE;2;303
ISORIA 10;9972324707/900;80;10;;;3G 6K 6XV;;;;;;;2;304
RTS68451;17/263518020;40;40;;;;;PTFE;;FONTE;;;21;305
;;40;10;;;;INOX;PTFE;;FONTE;;;20;306
VANNE PELLE;OF175787;150;10;;;;INOX;JOINT NITRILE;INOX 316;INOX;TRESSE PTFE;VG6400;24;307
ISORIA 10;76140045/0110;100;10;;;2 M14 3G 6K6 XV;;XV;;;;;2;308
FIG 14 102;M713780;50;10;;;;Inox;EPDM;Inox;Fonte GG25;;JOINT A LEVRES;10;309
;;;;;;;;;;;;;;310
;;150;;;;;;;;;;;25;311
GAMMA;V771100;500;10;;;3T 6P 3G XV;;XV;;;;;2;312
RTS67441;21/322798040;100;16;;;;;;;;;;21;313
;;;;;;;;;;;;;;314
21100;64-2111-01-1;25;;5,6;;;;316 RD;STEL 6;A216 GR WCC;;;18;315
21100;64-2111-01-02;25;;5,6;;;;316 RD;STEL 6;A216 GR WCC;;;18;316
48-21114;64-6656-01-1;75;ISO PN100 B2;47;ISO PN100 B2;;;AISI 410;ANSI 410;A 216 GR WCC;KEVLAR/PTFE;;18;317
30 000 globe;558807-1;80;ANSI 150;Min 22 max 55;ANSI 150;30-30242;17-4 PH;316;316;CS;CARBONE/PTFE;LATTY 3260 LM;18;318
48-21724;62-153001-3;50;16 PJ;25;;;;ANSI 316 STEL;ANSI 410;A216 GR WCC;;;18;319
48-21724;62-153001-2;50;16 PJ;25;;;;ANSI 316 STEL;ANSI 410;A216 GR WCC;;;18;320
48-21724;62-153001-1;50;16 PJ;25;;;;ANSI 316 STEL;ANSI 410;A216 GR WCC;;;18;321
150VSGC-112B;;;;;à souder;;;;;A216 WCB;;;4;322
